2019-11-26 17:45:59.424 VERB  [1768] [main@149] InGround Pipe 4: Recv: 136414224% RH, 0 Celsius and -2079309304% battery
2019-11-26 17:45:59.425 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8580 litres and reservoir level is 8
2019-11-26 17:45:59.440 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8580 litres and reservoir level is 8
2019-11-26 17:45:59.441 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8580 litres and reservoir level is 8
2019-11-26 17:45:59.441 VERB  [1768] [main@149] InGround Pipe 4: Recv: -2139037680% RH, 0 Celsius and 562303042% battery
2019-11-26 17:45:59.442 VERB  [1768] [main@149] InGround Pipe 4: Recv: 136414224% RH, 0 Celsius and 524354% battery
2019-11-26 17:45:59.457 VERB  [1768] [main@149] InGround Pipe 4: Recv: 136414224% RH, 0 Celsius and -2079309304% battery
2019-11-26 17:45:59.459 VERB  [1768] [main@149] InGround Pipe 4: Recv: 136414224% RH, 0 Celsius and 545538056% battery
2019-11-26 17:45:59.459 VERB  [1768] [main@149] InGround Pipe 4: Recv: 0% RH, 0 Celsius and 0% battery
2019-11-26 17:45:59.474 VERB  [1768] [main@149] InGround Pipe 4: Recv: 136414224% RH, 0 Celsius and -2079309304% battery
2019-11-26 17:45:59.475 VERB  [1768] [main@149] InGround Pipe 4: Recv: 136414224% RH, 0 Celsius and 1107296264% battery
2019-11-26 17:45:59.490 VERB  [1768] [main@149] InGround Pipe 4: Recv: 224% RH, 0 Celsius and 0% battery
2019-11-26 17:45:59.492 VERB  [1768] [main@149] InGround Pipe 2: Recv: 524290% RH, 0 Celsius and 524288% battery
2019-11-26 17:45:59.507 VERB  [1768] [main@149] InGround Pipe 2: Recv: -2079309304% RH, 0 Celsius and 1107829124% battery
2019-11-26 17:45:59.509 VERB  [1768] [main@149] InGround Pipe 4: Recv: 136380424% RH, 0 Celsius and 134217736% battery
2019-11-26 17:45:59.524 VERB  [1768] [main@149] InGround Pipe 4: Recv: 136414224% RH, 0 Celsius and -2079309304% battery
2019-11-26 17:45:59.524 VERB  [1768] [main@149] InGround Pipe 4: Recv: 0% RH, 0 Celsius and 0% battery
2019-11-26 17:45:59.525 VERB  [1768] [main@149] InGround Pipe 4: Recv: 25165828% RH, 0 Celsius and 4194304% battery
2019-11-26 17:45:59.540 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8324 litres and reservoir level is 132
2019-11-26 17:45:59.540 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.541 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 3 Celsius and 1077952576% battery
2019-11-26 17:45:59.541 VERB  [1768] [main@149] InGround Pipe 4: Recv: 1131415566% RH, -2147483648 Celsius and -1054787452% battery
2019-11-26 17:45:59.542 VERB  [1768] [main@149] InGround Pipe 4: Recv: 136414224% RH, 0 Celsius and 272762913% battery
2019-11-26 17:45:59.542 VERB  [1768] [main@149] InGround Pipe 2: Recv: -2079309304% RH, 0 Celsius and 1107829124% battery
2019-11-26 17:45:59.542 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8580 litres and reservoir level is 8
2019-11-26 17:45:59.557 VERB  [1768] [main@149] InGround Pipe 2: Recv: -2079309304% RH, 0 Celsius and 1107829124% battery
2019-11-26 17:45:59.557 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.557 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.557 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.557 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.558 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.558 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
